Id,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,95,86,87,88,89,90
Id,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,95,86,87,88,89,90
S14000001,"104,246","1,242","1,203","1,173","1,229","1,101","1,060",980,957,899,870,871,785,702,750,709,772,792,845,"1,584","2,362","2,613","2,709","2,734","2,942","2,794","2,614","2,509","2,343","2,182","2,130","1,986","1,851","1,894","1,802","1,627","1,569","1,430","1,284","1,315","1,344","1,236","1,164","1,231","1,221","1,285","1,168","1,208","1,170","1,216","1,158","1,241","1,147","1,221","1,217","1,086","1,132","1,113","1,049","1,112","1,037","1,036",971,934,917,909,877,926,871,"1,000",677,566,604,602,572,514,570,553,519,508,491,491,443,371,399,350,300,255,203,187,147,513
S14000002,"95,546",967,964,919,973,960,951,945,907,907,820,796,751,781,725,804,870,825,908,822,765,"1,013","1,094","1,429","1,890","2,134","2,048","2,214","2,046","2,091","1,968","1,893","1,683","1,760","1,598","1,608","1,552","1,471","1,312","1,251","1,215","1,198","1,203","1,311","1,294","1,294","1,183","1,254","1,290","1,307","1,251","1,372","1,322","1,424","1,371","1,253","1,271","1,265","1,239","1,138","1,180","1,027",962,894,924,881,850,920,850,976,750,608,649,645,682,554,581,566,558,573,541,467,460,460,475,389,358,353,294,259,218,772
S14000003,"86,672",967,"1,005","1,038","1,011","1,015","1,042","1,133","1,092","1,069",994,989,971,"1,002",938,975,"1,012","1,062","1,028","1,099","1,091","1,016","1,056","1,036","1,113","1,087","1,068","1,046","1,161","1,058","1,109","1,066","1,154","1,154","1,144","1,237","1,213","1,087","1,039",944,"1,139","1,085","1,099","1,196","1,257","1,292","1,299","1,396","1,412","1,377","1,347","1,416","1,317","1,317","1,306","1,271","1,178","1,154","1,168","1,119","1,117","1,024","1,010","1,010",937,946,975,993,936,"1,044",819,750,806,731,647,610,638,631,564,481,500,430,410,395,323,270,234,220,164,152,100,339
S14000004,"86,812",876,902,924,896,913,952,896,934,896,889,886,881,870,873,958,933,970,999,"1,009",978,976,"1,047","1,021",984,998,891,929,967,964,"1,011",943,954,986,"1,088",990,956,947,956,897,934,953,"1,012","1,132","1,152","1,167","1,201","1,293","1,237","1,259","1,334","1,338","1,310","1,329","1,392","1,233","1,314","1,272","1,204","1,186","1,151","1,110","1,103","1,216","1,075","1,164","1,131","1,171","1,234","1,354",986,938,945,905,858,771,821,707,740,690,614,597,553,489,494,452,406,324,271,246,241,863
S14000005,"86,890",724,734,746,840,834,842,857,877,821,866,875,896,797,845,854,884,"1,029","1,002","1,000",977,984,977,947,871,918,872,869,843,823,737,806,790,785,735,850,837,746,783,839,880,907,920,"1,043","1,110","1,105","1,202","1,224","1,292","1,329","1,297","1,388","1,414","1,439","1,363","1,392","1,354","1,278","1,300","1,321","1,330","1,253","1,236","1,248","1,272","1,357","1,259","1,383","1,389","1,592","1,180","1,150","1,140","1,061",976,890,930,860,807,778,689,690,582,530,540,477,420,370,290,248,244,849
S14000006,"92,215",880,873,907,917,981,886,958,974,955,903,972,920,934,928,953,"1,003","1,044","1,132","1,084",980,"1,066","1,124","1,061","1,023","1,015","1,003","1,013",973,"1,025",981,915,932,852,937,995,"1,020",935,828,825,916,967,"1,008","1,128","1,210","1,249","1,291","1,321","1,404","1,399","1,385","1,514","1,433","1,396","1,426","1,411","1,334","1,376","1,393","1,362","1,331","1,236","1,290","1,300","1,267","1,285","1,277","1,265","1,360","1,457","1,103","1,117","1,087","1,051",969,852,904,804,852,755,700,676,611,564,518,496,389,364,299,269,248,889
S14000007,"92,545",938,"1,014","1,060","1,054","1,095","1,105","1,114","1,070","1,007","1,035",929,925,982,970,941,"1,021","1,025","1,057","1,030","1,020","1,100","1,091","1,109","1,035","1,113","1,157","1,036","1,130","1,108","1,097","1,127","1,063","1,030","1,098","1,131","1,160","1,074","1,033","1,065","1,144","1,101","1,171","1,193","1,255","1,341","1,382","1,470","1,368","1,494","1,405","1,457","1,459","1,465","1,362","1,339","1,261","1,287","1,314","1,197","1,256","1,222","1,160","1,111","1,103","1,172","1,191","1,236","1,232","1,327","1,041",918,886,908,856,695,774,743,669,602,580,533,500,474,417,378,309,267,258,196,202,715
S14000008,"94,069",864,958,978,989,978,883,957,977,962,976,955,998,912,952,939,"1,006",995,"1,043","1,069","1,000",971,913,936,906,832,922,820,840,790,868,860,890,906,879,878,940,885,806,874,926,"1,040","1,060","1,153","1,261","1,337","1,326","1,405","1,468","1,523","1,496","1,553","1,519","1,559","1,468","1,484","1,515","1,524","1,421","1,420","1,374","1,380","1,355","1,345","1,290","1,322","1,426","1,440","1,518","1,720","1,243","1,145","1,191","1,142",992,922,935,911,857,761,736,670,632,586,527,506,478,401,327,261,243,868
S14000009,"60,984",580,571,600,645,637,643,684,680,648,649,660,639,632,651,657,659,738,700,698,629,607,643,592,595,546,590,583,622,609,597,634,634,664,631,702,595,630,580,589,646,634,634,667,710,766,767,829,899,909,970,971,910,945,911,998,935,967,949,967,857,883,837,861,865,883,914,927,976,"1,005",785,719,777,725,651,628,622,579,530,488,425,420,439,359,361,289,268,237,191,168,160,528
S14000010,"87,159",839,835,898,935,971,971,998,939,970,922,895,883,851,848,906,934,975,"1,033","1,018","1,057","1,015","1,023",977,994,954,875,924,"1,001",932,911,862,830,838,949,914,897,918,863,853,952,"1,039","1,039","1,062","1,229","1,220","1,243","1,230","1,251","1,393","1,328","1,369","1,435","1,431","1,398","1,362","1,321","1,305","1,293","1,231","1,181","1,232","1,192","1,204","1,161","1,114","1,127","1,247","1,209","1,394","1,039",949,"1,038",978,885,772,808,757,723,691,612,562,488,531,462,419,340,290,265,209,201,740
S14000011,"94,263","1,053","1,042","1,002","1,126","1,132","1,139","1,173","1,159","1,128","1,155","1,129","1,189","1,044","1,042","1,076","1,093","1,164","1,175","1,196","1,132","1,116","1,137","1,154","1,237","1,163","1,140","1,061","1,172","1,110","1,124","1,150","1,137","1,254","1,206","1,329","1,262","1,219","1,178","1,104","1,222","1,255","1,219","1,260","1,444","1,412","1,445","1,468","1,487","1,485","1,489","1,561","1,509","1,487","1,510","1,396","1,370","1,286","1,318","1,191","1,122","1,164","1,098","1,161","1,002","1,041","1,088","1,025","1,014","1,057",831,735,767,827,718,634,684,647,606,510,518,485,433,392,378,302,281,258,199,170,165,535
S14000012,"86,706",898,879,941,954,"1,067",980,"1,065","1,021","1,014","1,046","1,026","1,025",963,963,"1,007","1,020","1,135","1,100","1,150","1,060","1,088","1,094","1,096","1,141","1,116","1,003","1,016",988,966,"1,014",967,989,974,"1,058","1,026","1,056","1,023",927,"1,023","1,119","1,031","1,103","1,098","1,200","1,336","1,274","1,287","1,385","1,407","1,344","1,396","1,392","1,361","1,385","1,269","1,248","1,295","1,196","1,158","1,165","1,108","1,073","1,066","1,011","1,031","1,033","1,033","1,087","1,157",841,837,827,802,671,623,620,632,589,561,515,470,388,395,348,303,276,205,158,156,124,438
S14000013,"96,028",835,901,921,972,979,"1,006",967,985,"1,055",983,"1,001",951,918,918,961,933,"1,027","1,113","1,010",990,"1,053","1,041","1,002",948,"1,001","1,007",984,"1,065",995,937,963,980,917,"1,046",993,945,897,857,805,948,971,"1,051","1,077","1,176","1,297","1,243","1,364","1,426","1,446","1,418","1,570","1,549","1,531","1,543","1,517","1,404","1,455","1,444","1,334","1,415","1,340","1,387","1,361","1,365","1,390","1,419","1,445","1,476","1,614","1,279","1,216","1,172","1,158","1,082",985,936,904,860,863,835,723,705,678,601,538,457,401,319,295,267,916
S14000014,"86,081",723,733,807,746,915,905,940,932,911,914,971,902,942,868,910,964,970,"1,038",953,896,868,868,849,754,761,757,633,752,777,712,747,752,778,764,762,842,774,795,747,905,915,944,"1,067","1,190","1,195","1,333","1,385","1,312","1,404","1,417","1,505","1,457","1,501","1,408","1,350","1,349","1,343","1,310","1,285","1,303","1,293","1,257","1,228","1,209","1,225","1,189","1,246","1,293","1,448","1,092","1,037","1,109","1,038",946,875,891,838,749,773,694,655,615,531,472,459,427,359,321,264,214,824
S14000015,"89,997",944,913,955,"1,047","1,094",970,"1,083","1,002",992,918,"1,017",976,918,931,972,"1,022",995,"1,167","1,034",903,825,"1,026","1,184","1,391","1,408","1,345","1,207","1,236","1,124","1,124","1,217","1,064","1,069","1,137","1,072","1,061","1,035",948,955,"1,017","1,001","1,016","1,043","1,124","1,151","1,188","1,274","1,181","1,200","1,258","1,322","1,323","1,333","1,325","1,305","1,286","1,242","1,218","1,197","1,097","1,066","1,055","1,093",992,"1,070","1,114","1,128","1,268","1,372",946,905,877,826,757,715,688,714,700,631,649,586,591,479,490,453,371,371,348,249,236,875
S14000016,"88,301",910,905,967,983,858,827,828,866,754,783,804,755,765,727,724,762,760,869,"1,381","1,860","1,994","2,170","2,146","2,229","2,066","1,911","1,790","1,665","1,610","1,343","1,431","1,346","1,226","1,196","1,158","1,012",936,852,895,899,828,793,884,958,"1,102",960,"1,022","1,082","1,098","1,116","1,234","1,114","1,216","1,183","1,199","1,137","1,035","1,112","1,109",972,936,886,894,855,818,858,889,904,"1,016",721,693,678,635,629,598,650,612,634,544,548,499,507,422,420,410,362,314,231,226,167,628
S14000017,"100,058","1,166","1,121","1,143","1,180","1,326","1,192","1,276","1,230","1,191","1,231","1,127","1,139","1,124","1,034","1,068","1,056","1,101","1,130","1,106",999,999,"1,047",970,"1,070","1,127","1,201","1,197","1,198","1,202","1,219","1,242","1,236","1,254","1,351","1,335","1,360","1,372","1,284","1,257","1,290","1,329","1,388","1,495","1,572","1,600","1,530","1,542","1,543","1,602","1,559","1,595","1,569","1,478","1,490","1,483","1,481","1,466","1,354","1,276","1,295","1,235","1,167","1,124","1,070","1,184","1,200","1,214","1,296","1,448",994,954,959,886,844,696,719,655,643,616,559,490,470,410,337,317,309,253,243,178,179,611
S14000018,"83,466",705,804,797,785,935,851,894,913,883,944,965,936,910,943,976,974,"1,024","1,067",942,977,895,964,945,"1,015",902,885,796,775,635,667,613,655,679,712,758,769,844,791,850,865,900,924,"1,072","1,166","1,202","1,210","1,254","1,220","1,345","1,298","1,416","1,388","1,363","1,386","1,343","1,278","1,351","1,240","1,267","1,199","1,188","1,112","1,150","1,024","1,037","1,081","1,131","1,106","1,210",950,931,957,899,778,778,816,817,775,774,662,662,629,557,511,434,436,355,324,287,245,788
S14000019,"101,907","1,026",948,"1,052","1,068","1,153","1,068","1,172","1,163","1,170","1,098","1,097","1,141","1,023","1,173","1,121","1,236","1,213","1,246","1,276","1,166","1,240","1,330","1,239","1,266","1,179","1,114","1,139","1,130","1,041","1,062","1,093","1,164","1,121","1,160","1,197","1,235","1,099","1,140","1,095","1,105","1,148","1,189","1,270","1,413","1,561","1,585","1,623","1,648","1,722","1,634","1,720","1,803","1,822","1,704","1,699","1,636","1,654","1,531","1,446","1,384","1,308","1,308","1,209","1,182","1,138","1,085","1,111","1,176","1,238",970,916,946,969,827,842,742,784,808,700,698,600,549,531,510,477,406,355,327,269,230,745
