"id","age"
"E14000530",38.3
"E14000531",45.9
"E14000532",42
"E14000533",44.9
"E14000534",50
"E14000535",43.1
"E14000536",41.5
"E14000537",39.6
"E14000538",38.4
"E14000539",40.3
"E14000540",31.6
"E14000541",41.5
"E14000542",41.9
"E14000543",46.1
"E14000544",39.3
"E14000545",37.9
"E14000546",44.9
"E14000547",32.9
"E14000548",38.6
"E14000549",33.2
"E14000550",45.2
"E14000551",42.2
"E14000552",38.2
"E14000553",32.1
"E14000554",51
"E14000555",30.7
"E14000556",49.4
"E14000557",51.4
"E14000558",38.6
"E14000559",40
"E14000560",32.8
"E14000561",34.8
"E14000562",32.2
"E14000563",28.7
"E14000564",27.6
"E14000565",37.1
"E14000566",33.1
"E14000567",31.6
"E14000568",33.6
"E14000569",45.8
"E14000570",34.4
"E14000571",31.9
"E14000572",46.3
"E14000573",42.6
"E14000574",45.6
"E14000575",44.3
"E14000576",46.6
"E14000577",44.1
"E14000578",38.7
"E14000579",35.8
"E14000580",43
"E14000581",40.5
"E14000582",45.2
"E14000583",44.8
"E14000584",39.7
"E14000585",37.3
"E14000586",39.1
"E14000587",31.9
"E14000588",36.3
"E14000589",30.6
"E14000590",43.8
"E14000591",34.1
"E14000592",35.7
"E14000593",36.3
"E14000594",44
"E14000595",47.2
"E14000596",46.4
"E14000597",37.9
"E14000598",32.2
"E14000599",35.9
"E14000600",36.2
"E14000601",34.7
"E14000602",28.3
"E14000603",48.1
"E14000604",39.2
"E14000605",45.6
"E14000606",40.6
"E14000607",42.7
"E14000608",45.3
"E14000609",40.1
"E14000610",40.9
"E14000611",41.4
"E14000612",39.6
"E14000613",44.7
"E14000614",45.3
"E14000615",33.6
"E14000616",44.6
"E14000617",30.8
"E14000618",42.6
"E14000619",34.3
"E14000620",42.9
"E14000621",38.4
"E14000622",46.8
"E14000623",48.7
"E14000624",46.8
"E14000625",44.3
"E14000626",37.9
"E14000627",45.1
"E14000628",39.1
"E14000629",37.1
"E14000630",39.2
"E14000631",45
"E14000632",44.5
"E14000633",48.1
"E14000634",39.7
"E14000635",44.6
"E14000636",39.7
"E14000637",42.8
"E14000638",53.7
"E14000639",37
"E14000640",40.8
"E14000641",37.3
"E14000642",52.3
"E14000643",46.2
"E14000644",34.6
"E14000645",42.9
"E14000646",47.7
"E14000647",47.2
"E14000648",40.8
"E14000649",32.6
"E14000650",35
"E14000651",29.5
"E14000652",36.9
"E14000653",42
"E14000654",36.4
"E14000655",35.3
"E14000656",40.2
"E14000657",35.2
"E14000658",42.1
"E14000659",38
"E14000660",45.7
"E14000661",41
"E14000662",36.7
"E14000663",34.4
"E14000664",50.4
"E14000665",40.6
"E14000666",39.4
"E14000667",43.8
"E14000668",39.1
"E14000669",41.5
"E14000670",45.5
"E14000671",40
"E14000672",42.1
"E14000673",34.7
"E14000674",36
"E14000675",36.3
"E14000676",36.9
"E14000677",42.8
"E14000678",48.3
"E14000679",31.9
"E14000680",46.2
"E14000681",43.2
"E14000682",44.5
"E14000683",50
"E14000684",46
"E14000685",41.3
"E14000686",46.8
"E14000687",33.8
"E14000688",44.8
"E14000689",45.9
"E14000690",37.8
"E14000691",35.5
"E14000692",38.4
"E14000693",41.5
"E14000694",42.6
"E14000695",42.4
"E14000696",34.7
"E14000697",42.2
"E14000698",33.1
"E14000699",45.2
"E14000700",44
"E14000701",35
"E14000702",37.5
"E14000703",36.7
"E14000704",46.8
"E14000705",48
"E14000706",49.2
"E14000707",47.6
"E14000708",41.8
"E14000709",37.3
"E14000710",43
"E14000711",38.6
"E14000712",38.1
"E14000713",43.6
"E14000714",44.7
"E14000715",39.4
"E14000716",38.6
"E14000717",45.3
"E14000718",32.9
"E14000719",36.1
"E14000720",32.6
"E14000721",32.8
"E14000722",41.6
"E14000723",38.5
"E14000724",48.1
"E14000725",40.8
"E14000726",34.5
"E14000727",35.5
"E14000728",43.7
"E14000729",38.4
"E14000730",45.7
"E14000731",37.9
"E14000732",36.3
"E14000733",41.8
"E14000734",46.5
"E14000735",44.8
"E14000736",45.2
"E14000737",33.7
"E14000738",46.3
"E14000739",38.9
"E14000740",43
"E14000741",34.5
"E14000742",46.5
"E14000743",44.1
"E14000744",41.3
"E14000745",40.6
"E14000746",50.1
"E14000747",40.5
"E14000748",45.5
"E14000749",41.9
"E14000750",32.8
"E14000751",40.9
"E14000752",36.5
"E14000753",43.4
"E14000754",44.2
"E14000755",38.9
"E14000756",35.9
"E14000757",42
"E14000758",39.8
"E14000759",37
"E14000760",32.7
"E14000761",37.1
"E14000762",49.6
"E14000763",32.6
"E14000764",31.7
"E14000765",43.9
"E14000766",42.4
"E14000767",46.9
"E14000768",38.4
"E14000769",41.2
"E14000770",36.7
"E14000771",38.2
"E14000772",32.7
"E14000773",38
"E14000774",41.1
"E14000775",39.4
"E14000776",37.1
"E14000777",27.1
"E14000778",35.1
"E14000779",38.3
"E14000780",32.2
"E14000781",34.3
"E14000782",35.3
"E14000783",28.7
"E14000784",31.5
"E14000785",42.1
"E14000786",48.5
"E14000787",36.3
"E14000788",36.4
"E14000789",33.1
"E14000790",34.1
"E14000791",46.3
"E14000792",34.5
"E14000793",28.3
"E14000794",37.6
"E14000795",35.4
"E14000796",38.5
"E14000797",35.3
"E14000798",52.1
"E14000799",51.3
"E14000800",36
"E14000801",32.9
"E14000802",47.1
"E14000803",42.4
"E14000804",40.7
"E14000805",42.9
"E14000806",47.3
"E14000807",27.4
"E14000808",28.7
"E14000809",31.5
"E14000810",41.9
"E14000811",47.1
"E14000812",42.8
"E14000813",42.6
"E14000814",46.4
"E14000815",47.7
"E14000816",46.8
"E14000817",43
"E14000818",46.6
"E14000819",33.6
"E14000820",45.1
"E14000821",37
"E14000822",37.5
"E14000823",36.1
"E14000824",46.9
"E14000825",45.5
"E14000826",42
"E14000827",47.4
"E14000828",53
"E14000829",45.7
"E14000830",42.3
"E14000831",31.1
"E14000832",27.9
"E14000833",41.9
"E14000834",39.7
"E14000835",48.7
"E14000836",41.4
"E14000837",47.9
"E14000838",47.3
"E14000839",47.9
"E14000840",44.8
"E14000841",42.6
"E14000842",44.3
"E14000843",47.3
"E14000844",44
"E14000845",43.5
"E14000846",44
"E14000847",49.5
"E14000848",54.1
"E14000849",45.9
"E14000850",46.9
"E14000851",40.2
"E14000852",45.9
"E14000853",42.2
"E14000854",44.1
"E14000855",39.9
"E14000856",45.1
"E14000857",43.9
"E14000858",43.9
"E14000859",47.1
"E14000860",45.1
"E14000861",38.1
"E14000862",35.8
"E14000863",41.5
"E14000864",33.5
"E14000865",29.5
"E14000866",34.7
"E14000867",27
"E14000868",41.1
"E14000869",41.1
"E14000870",38
"E14000871",35.4
"E14000872",43.3
"E14000873",28.8
"E14000874",39.9
"E14000875",39.7
"E14000876",46.8
"E14000877",49.6
"E14000878",36.1
"E14000879",40.9
"E14000880",33.4
"E14000881",44
"E14000882",31.3
"E14000883",38.4
"E14000884",30.6
"E14000885",31.6
"E14000886",40.6
"E14000887",34.5
"E14000888",45.1
"E14000889",34.2
"E14000890",38
"E14000891",43.8
"E14000892",40.8
"E14000893",41
"E14000894",46.1
"E14000895",46.6
"E14000896",39.1
"E14000897",36.1
"E14000898",38.7
"E14000899",40.4
"E14000900",38.2
"E14000901",42.1
"E14000902",42.7
"E14000903",44.6
"E14000904",38.8
"E14000905",41.2
"E14000906",42.9
"E14000907",39.6
"E14000908",43.8
"E14000909",47
"E14000910",44.1
"E14000911",34.1
"E14000912",45.2
"E14000913",48.6
"E14000914",39.8
"E14000915",45.4
"E14000916",50.2
"E14000917",44.9
"E14000918",43.5
"E14000919",26.1
"E14000920",40.8
"E14000921",34.4
"E14000922",41.7
"E14000923",39.7
"E14000924",44
"E14000925",44.3
"E14000926",44.9
"E14000927",40.4
"E14000928",49.2
"E14000929",47.1
"E14000930",34.4
"E14000931",44
"E14000932",48.3
"E14000933",40
"E14000934",42.8
"E14000935",42.2
"E14000936",48.5
"E14000937",42.5
"E14000938",49.8
"E14000939",46.1
"E14000940",43.7
"E14000941",46.3
"E14000942",42.5
"E14000943",45.3
"E14000944",43.3
"E14000945",47.2
"E14000946",48.4
"E14000947",39
"E14000948",45.1
"E14000949",39.9
"E14000950",47.1
"E14000951",42.7
