id,Constituency,County,Country/Region,Country,Electorate_2010,Green Votes_2010,Green Vote share_2010,Total votes_2010,Year
E14000530,ALDERSHOT,Hampshire,South East,England,"71,465",,,"45,384",2010
E14000531,ALDRIDGE-BROWNHILLS,West Midlands,West Midlands,England,"58,909",847,2%,"38,634",2010
E14000532,ALTRINCHAM AND SALE WEST,Greater Manchester,North West,England,"72,208",,,"49,393",2010
E14000533,AMBER VALLEY,Derbyshire,East Midlands,England,"70,171",,,"45,958",2010
E14000534,ARUNDEL AND SOUTH DOWNS,West Sussex,South East,England,"76,835",,,"55,982",2010
E14000535,ASHFIELD,Nottinghamshire,East Midlands,England,"77,379",,,"48,196",2010
E14000536,ASHFORD,Kent,South East,England,"81,271","1,014",2%,"55,185",2010
E14000537,ASHTON-UNDER-LYNE,Greater Manchester,North West,England,"67,714",,,"38,432",2010
E14000538,AYLESBURY,Buckinghamshire,South East,England,"77,844",,,"53,162",2010
E14000539,BANBURY,Oxfordshire,South East,England,"84,379",959,2%,"56,241",2010
E14000540,BARKING,London,London,England,"73,868",317,1%,"45,343",2010
E14000541,BARNSLEY CENTRAL,South Yorkshire,Yorkshire and The Humber,England,"65,543",,,"37,001",2010
E14000542,BARNSLEY EAST,South Yorkshire,Yorkshire and The Humber,England,"68,435",,,"38,386",2010
E14000543,BARROW AND FURNESS,Cumbria,North West,England,"68,943",530,1%,"44,124",2010
E14000544,BASILDON AND BILLERICAY,Essex,Eastern,England,"65,515",,,"41,569",2010
E14000545,BASINGSTOKE,Hampshire,South East,England,"75,473",,,"50,654",2010
E14000546,BASSETLAW,Nottinghamshire,East Midlands,England,"76,513",,,"49,577",2010
E14000547,BATH,Avon,South West,England,"66,686","1,120",2%,"47,086",2010
E14000548,BATLEY AND SPEN,West Yorkshire,Yorkshire and The Humber,England,"76,738",605,1%,"51,109",2010
E14000549,BATTERSEA,London,London,England,"74,311",559,1%,"48,792",2010
E14000550,BEACONSFIELD,Buckinghamshire,South East,England,"74,982",768,1%,"52,490",2010
E14000551,BECKENHAM,London,London,England,"66,219",608,1%,"47,686",2010
E14000552,BEDFORD,Bedfordshire,Eastern,England,"68,530",393,1%,"45,102",2010
E14000553,BERMONDSEY AND OLD SOUTHWARK,London,London,England,"77,628",718,2%,"44,651",2010
E14000554,BERWICK-UPON-TWEED,Northumberland,North East,England,"56,578",,,"38,439",2010
E14000555,BETHNAL GREEN AND BOW,London,London,England,"81,243",856,2%,"50,728",2010
E14000556,BEVERLEY AND HOLDERNESS,Humberside,Yorkshire and The Humber,England,"79,318",686,1%,"53,199",2010
E14000557,BEXHILL AND BATTLE,East Sussex,South East,England,"81,032",,,"54,587",2010
E14000558,BEXLEYHEATH AND CRAYFORD,London,London,England,"65,015",371,1%,"43,182",2010
E14000559,BIRKENHEAD,Merseyside,North West,England,"62,773",,,"35,323",2010
